Day,MAAs,,Date,MAAs
1/1/22,"504,093",,1/7/22,"466,523"
1/2/22,"498,785",,1/14/22,"391,192"
1/3/22,"476,863",,1/21/22,"330,710"
1/4/22,"464,847",,1/28/22,"236,940"
1/5/22,"453,821",,2/4/22,"189,677"
1/6/22,"443,340",,2/11/22,"189,969"
1/7/22,"423,913",,2/18/22,"167,947"
1/8/22,"415,009",,2/25/22,"162,037"
1/9/22,"406,494",,3/4/22,"159,702"
1/10/22,"397,764",,3/11/22,"147,646"
1/11/22,"389,359",,3/18/22,"291,199"
1/12/22,"378,013",,3/25/22,"869,061"
1/13/22,"362,817",,4/1/22,"979,127"
1/14/22,"356,170",,4/8/22,"978,856"
1/15/22,"351,938",,4/15/22,"937,274"
1/16/22,"337,120",,4/22/22,"412,564"
1/17/22,"329,461",,4/29/22,"175,027"
1/18/22,"331,386",,5/6/22,"182,120"
1/19/22,"330,405",,5/13/22,"186,707"
1/20/22,"313,209",,5/20/22,"169,628"
1/21/22,"295,990",,5/27/22,"151,520"
1/22/22,"286,334",,6/3/22,"140,318"
1/23/22,"258,188",,6/10/22,"123,342"
1/24/22,"243,955",,6/17/22,"116,001"
1/25/22,"218,699",,6/24/22,"115,672"
1/26/22,"200,336",,7/1/22,"120,764"
1/27/22,"196,744",,7/8/22,"117,934"
1/28/22,"195,276",,7/15/22,"137,649"
1/29/22,"194,382",,7/22/22,"149,585"
1/30/22,"194,149",,7/29/22,"139,289"
1/31/22,"191,684",,8/5/22,"138,533"
2/1/22,"183,852",,8/12/22,"126,762"
2/2/22,"183,620",,8/19/22,"106,819"
2/3/22,"183,211",,8/26/22,"113,924"
2/4/22,"191,244",,9/2/22,"122,614"
2/5/22,"192,629",,9/9/22,"131,473"
2/6/22,"191,600",,9/16/22,"289,887"
2/7/22,"190,878",,9/23/22,"769,262"
2/8/22,"191,175",,9/30/22,"1,018,368"
2/9/22,"190,417",,10/7/22,"1,196,469"
2/10/22,"188,036",,10/14/22,"1,309,546"
2/11/22,"183,769",,10/21/22,"1,192,714"
