Daily_Date,Daily,Retained,,Weekly_Date,Weekly,M2_Retention
1/1/2022,"434,228",20878,,1/7/2022,"397,036",5%
1/2/2022,"430,401",20803,,1/14/2022,"313,168",5%
1/3/2022,"417,886",20090,,1/21/2022,"243,752",6%
1/4/2022,"393,994",19552,,1/28/2022,"155,543",10%
1/5/2022,"380,521",19466,,2/4/2022,"104,392",17%
1/6/2022,"367,423",18814,,2/11/2022,"104,339",17%
1/7/2022,"354,800",18345,,2/18/2022,"86,795",19%
1/8/2022,"335,138",17973,,2/25/2022,"77,878",22%
1/9/2022,"327,297",16281,,3/4/2022,"74,650",23%
1/10/2022,"318,161",14656,,3/11/2022,"70,297",23%
1/11/2022,"308,969",13488,,3/18/2022,"159,691",9%
1/12/2022,"300,472",13339,,3/25/2022,"729,661",2%
1/13/2022,"288,897",13872,,4/1/2022,"899,054",1%
1/14/2022,"271,607",13974,,4/8/2022,"894,119",1%
1/15/2022,"264,819",13916,,4/15/2022,"876,073",1%
1/16/2022,"256,714",14147,,4/22/2022,"411,273",2%
1/17/2022,"239,184",14353,,4/29/2022,"79,708",13%
1/18/2022,"233,476",14720,,5/6/2022,"89,075",12%
1/19/2022,"235,968",15139,,5/13/2022,"92,704",11%
1/20/2022,"234,083",15382,,5/20/2022,"80,841",12%
1/21/2022,"214,163",15531,,5/27/2022,"67,831",12%
1/22/2022,"196,530",15574,,6/3/2022,"58,198",13%
1/23/2022,"189,190",15498,,6/10/2022,"53,013",14%
1/24/2022,"160,579",15499,,6/17/2022,"46,440",15%
1/25/2022,"148,364",15696,,6/24/2022,"44,124",15%
1/26/2022,"123,623",16026,,7/1/2022,"50,956",13%
1/27/2022,"106,592",16177,,7/8/2022,"49,406",12%
1/28/2022,"105,305",16878,,7/15/2022,"74,211",8%
1/29/2022,"104,529",16901,,7/22/2022,"95,745",6%
1/30/2022,"104,054",16850,,7/29/2022,"86,758",6%
1/31/2022,"104,262",17060,,8/5/2022,"84,906",7%
2/1/2022,"103,766",17167,,8/12/2022,"74,293",10%
2/2/2022,"103,510",17263,,8/19/2022,"45,406",23%
2/3/2022,"104,627",17660,,8/26/2022,"50,471",25%
2/4/2022,"105,079",18028,,9/2/2022,"58,160",23%
2/5/2022,"106,098",18262,,9/9/2022,"66,300",21%
2/6/2022,"106,519",18355,,9/16/2022,"168,897",32%
2/7/2022,"105,929",18348,,9/23/2022,"645,398",38%
2/8/2022,"104,773",18197,,9/30/2022,"910,443",37%
2/9/2022,"104,121",18248,,10/7/2022,"1,094,636",37%
2/10/2022,"102,934",18385,,10/14/2022,"1,214,844",36%
2/11/2022,"99,258",17727,,10/21/2022,"900,956",33%
2/12/2022,"95,694",17341,,10/28/2022,"659,553",29%
2/13/2022,"92,131",17000,,11/4/2022,"564,324",26%
2/14/2022,"89,753",16728,,11/11/2022,"520,936",23%
2/15/2022,"83,400",16037,,11/18/2022,"485,653",21%
2/16/2022,"80,104",15758,,11/25/2022,"476,420",21%
2/17/2022,"78,236",15644,,12/2/2022,"439,816",21%
2/18/2022,"75,780",15395,,12/9/2022,"382,766",22%
2/19/2022,"75,094",15613,,12/16/2022,"349,849",23%
2/20/2022,"76,470",16255,,12/23/2022,"315,596",23%
2/21/2022,"79,890",17276,,12/30/2022,"287,417",23%
2/22/2022,"79,716",17467,,1/6/2023,"274,316",22%
2/23/2022,"78,914",17672,,1/13/2023,"270,158",21%
2/24/2022,"79,338",18069,,1/20/2023,"345,458",21%
2/25/2022,"77,825",17890,,1/27/2023,"371,607",19%
2/26/2022,"75,976",17620,,2/3/2023,"384,869",17%
2/27/2022,"72,698",16663,,2/10/2023,"396,772",15%
2/28/2022,"73,328",16943,,2/17/2023,"340,140",
3/1/2022,"73,127",17111,,2/24/2023,"326,081",
3/2/2022,"73,808",17249,,3/3/2023,"322,589",
3/3/2022,"75,200",17531,,3/10/2023,"320,978",
3/4/2022,"75,240",17520,,,,
3/5/2022,"74,060",17256,,,,
3/6/2022,"73,078",16785,,,,
3/7/2022,"70,375",16367,,,,
3/8/2022,"68,438",16153,,,,
3/9/2022,"67,772",15968,,,,
3/10/2022,"67,372",15951,,,,
3/11/2022,"66,044",15699,,,,
3/12/2022,"65,474",15160,,,,
3/13/2022,"68,672",15104,,,,
3/14/2022,"72,284",14878,,,,
3/15/2022,"115,559",14799,,,,
3/16/2022,"178,780",14564,,,,
3/17/2022,"305,214",14392,,,,
3/18/2022,"405,501",14278,,,,
3/19/2022,"478,655",14005,,,,
3/20/2022,"553,485",13804,,,,
3/21/2022,"777,051",13173,,,,
3/22/2022,"910,564",12255,,,,
3/23/2022,"905,417",11033,,,,
3/24/2022,"903,965",10673,,,,
3/25/2022,"902,650",10216,,,,
3/26/2022,"900,273",9560,,,,
3/27/2022,"899,642",9298,,,,
3/28/2022,"899,323",9167,,,,
3/29/2022,"898,877",9060,,,,
3/30/2022,"897,641",8704,,,,
3/31/2022,"897,376",8634,,,,
4/1/2022,"896,649",8340,,,,
4/2/2022,"895,392",7967,,,,
4/3/2022,"894,600",7754,,,,
4/4/2022,"894,161",7567,,,,
4/5/2022,"893,193",7511,,,,
4/6/2022,"893,258",7546,,,,
4/7/2022,"892,989",7401,,,,
4/8/2022,"892,709",7359,,,,
4/9/2022,"893,180",7311,,,,
4/10/2022,"893,278",7206,,,,
4/11/2022,"891,991",7296,,,,
4/12/2022,"892,119",7366,,,,
4/13/2022,"896,209",7399,,,,
4/14/2022,"856,024",7466,,,,
4/15/2022,"793,075",7551,,,,
4/16/2022,"668,712",7909,,,,
4/17/2022,"569,684",8027,,,,
4/18/2022,"496,890",8168,,,,
4/19/2022,"422,921",8385,,,,
4/20/2022,"199,394",8663,,,,
4/21/2022,"67,926",9232,,,,
4/22/2022,"71,581",9593,,,,
4/23/2022,"75,256",9874,,,,
4/24/2022,"76,925",10084,,,,
4/25/2022,"78,552",10209,,,,
4/26/2022,"80,753",10376,,,,
4/27/2022,"82,581",10526,,,,
4/28/2022,"85,022",10723,,,,
4/29/2022,"86,993",10806,,,,
4/30/2022,"87,869",10721,,,,
5/1/2022,"88,499",10649,,,,
5/2/2022,"88,669",10647,,,,
5/3/2022,"89,042",10669,,,,
5/4/2022,"89,282",10716,,,,
5/5/2022,"90,000",10706,,,,
5/6/2022,"92,243",10785,,,,
5/7/2022,"93,799",10858,,,,
5/8/2022,"94,548",10921,,,,
5/9/2022,"93,706",10729,,,,
5/10/2022,"94,005",10680,,,,
5/11/2022,"94,173",10512,,,,
5/12/2022,"93,280",10467,,,,
5/13/2022,"85,874",10328,,,,
5/14/2022,"82,793",10188,,,,
5/15/2022,"81,923",10033,,,,
5/16/2022,"79,668",9616,,,,
5/17/2022,"78,506",9441,,,,
5/18/2022,"79,685",9357,,,,
