activity_date,project_name,txns,daa,wau,mau,m2_retention,new_maa,percent_new
2024-01-03,Overall,3461848,1057659,5677164,15251986,52.69240367293334,12451996,81.64180061534282
2024-01-03,inscription.near,1400063,610,11197,19187,57.77388255915863,5311,27.680200135508414
2024-01-03,Kai-Ching,876468,837520,4745838,12456626,79.68991535448787,10743547,86.24764844027588
2024-01-03,OTHER,530085,19481,121803,608210,53.89609743477482,329307,54.143634599891485
2024-01-03,Sweat Economy,385912,123754,433619,1107969,37.6268534651353,273238,24.66115929236287
2024-01-03,Play Ember,85624,76314,400886,1366190,12.950859658888353,1289927,94.41783353706292
2024-01-03,NEAR Crowd,63199,700,1062,1345,0.0,0,0.0
2024-01-03,REF,19340,240,2101,9954,79.41176470588235,1714,17.219208358448864
2024-01-03,Orderly,19338,679,3347,11869,73.70370370370371,714,6.01567107591204
2024-01-03,priceoracle.near,9035,48,128,355,61.111111111111114,33,9.295774647887324
2024-01-03,Wrapped NEAR,6392,1449,7764,22170,83.75299760191847,5430,24.49255751014885
2024-01-03,SPIN,5696,19,68,328,25.0,40,12.195121951219512
2024-01-03,Rainbow Bridge,3105,970,4604,15695,58.620689655172406,2347,14.953806944886908
2024-01-03,Staking Pools,3066,1530,7314,19482,36.44953759549659,6069,31.151832460732987
2024-01-03,pager.herewallet.near,2554,1472,5096,5100,99.37106918238993,2223,43.588235294117645
2024-01-03,USDT,2445,1141,3295,8482,29.308323563892145,3020,35.60481018627682
2024-01-03,v2.keypom.near,1235,483,1970,2013,88.70967741935483,1052,52.26030799801291
2024-01-03,meteor-points.near,1147,1,8,1511,6.923777710294564,405,26.803441429516877
2024-01-03,Exchanges,693,469,3114,13217,14.105226722049153,10300,77.92993871529092
2024-01-03,NEAR Social,692,275,4666,23307,79.90049751243781,2754,11.816192560175056
2024-01-03,Stader,557,15,66,205,20.0,7,3.414634146341464
2024-01-03,Neko,546,163,787,3386,92.42424242424242,1125,33.22504430005907
2024-01-03,HERE Wallet,532,300,978,1703,69.1358024691358,339,19.90604815032296
2024-01-03,unifat.near,512,499,506,510,93.75,667,130.7843137254902
2024-01-03,Learn NEAR Club,503,201,612,2048,20.311149524632672,850,41.50390625
2024-01-03,Paras,500,129,686,2234,68.94736842105263,283,12.667860340196956
2024-01-03,mint.sharddog.near,460,31,206,425,39.130434782608695,45,10.588235294117647
2024-01-03,Metapool,431,100,433,1410,53.90625,264,18.72340425531915
2024-01-03,neat.nrc-20.near,382,182,2634,12982,99.87712471841081,2312,17.809274379910644
2024-01-03,Mintbase,373,48,228,444,0.14181523500810372,57,12.837837837837837
2024-01-03,veax.near,322,17,91,150,31.57894736842105,24,16.0
2024-01-03,blackdragon.tkn.near,264,171,3439,6112,97.87234042553192,418,6.8390052356020945
2024-01-03,Jump Finance,248,55,305,995,81.81818181818183,155,15.577889447236181
2024-01-03,gear.enleap.near,239,161,793,2480,98.33679833679834,447,18.024193548387096
2024-01-03,Pembrock,228,95,211,477,92.07920792079209,80,16.771488469601678
2024-01-03,meteor-rewards.near,225,217,860,2433,68.48837209302326,377,15.495273325113029
2024-01-03,LiNEAR,225,52,311,996,44.16243654822335,260,26.104417670682732
2024-01-03,berryclub.ek.near,206,6,27,74,8.695652173913043,5,6.756756756756757
2024-01-03,TradePort,155,7,85,276,64.28571428571429,37,13.405797101449277
2024-01-03,token.lonkingnearbackto2024.near,133,83,1055,1822,100.0,746,40.944017563117455
