,ContractAddress,Past30Days,30-60DaysAgo,MoM,NewMAAs,M2Retention,DailyAverage,DAUMAU,TotalTransactions,GasBurnt,Transactions-30Days,AvgTxnperMAU
0,Overall,15644310,3915670,299.5308593420794,12654849,53.93508001735624,1063072.7142857143,6.795267508031447,245016998,595.7414662584933,105573260,6.748348760667617
1,Kai-Ching,12681192,2041672,521.1179856509763,10874387,80.39173092936534,806086.0,6.356547554835538,151173290,16850.041920436655,40219412,3.171579769472775
2,Play Ember,1325420,666499,98.86301404803308,1224964,10.608920787339715,74085.71428571429,5.589602864428957,73948222,454.5202022291664,2558459,1.9303005839658371
3,Sweat Economy,1112258,1069213,4.025858271457605,339468,36.019048236444476,136609.57142857142,12.282183758495908,234935140,3527.966960461362,10519466,9.457757103118162
4,OTHER,879025,237514,270.0939734078833,443789,73.51252108195811,54190.857142857145,6.164882357482114,230869131,7367.24937586646,24382650,27.73828958220756
5,Wrapped NEAR,22377,5882,280.43182590955456,8077,80.29617906398371,1102.7142857142858,4.92789152126865,17028245,47.83765241699068,248443,11.1026053537114
6,Staking Pools,19406,13829,40.328295610673216,9379,38.990551369453414,1257.0,6.477378130475111,9377312,26.401717979122026,90547,4.66592806348552
7,NEAR Social,18995,19488,-2.529761904761907,4717,52.906273402845784,238.28571428571428,1.254465460835558,7328349,19.92934737663035,35590,1.8736509607791525
8,inscription.near,17174,24235,-29.135547761501957,7559,36.54378962197699,702.8571428571429,4.092565173268562,93536066,36743.695209668156,22364378,1302.2230115290556
9,Rainbow Bridge,14767,7068,108.9275608375778,3633,51.111908177905306,719.5714285714286,4.872834215286981,8294070,21.06935975136598,94660,6.410239046522652
10,neat.nrc-20.near,13258,0,0.0,2546,100.0,138.57142857142858,1.0451910436825207,2206461,6.591759956993656,58147,4.385804797103636
11,Exchanges,13075,8367,56.2686745547986,10553,15.276289606612584,445.42857142857144,3.406719475553128,1611707,10.190888657176057,25489,1.9494455066921605
12,Orderly,11402,9324,22.286572286572294,1292,54.526015680684246,605.2857142857143,5.308592477510212,59898400,179.5119753247141,560258,49.136818102087354
13,REF,10240,2034,403.44149459193704,3889,78.36010143702451,325.57142857142856,3.179408482142857,9360199,440.44388592984535,472429,46.13564453125
14,USDT,8267,6610,25.068078668683814,3431,33.45454545454545,432.57142857142856,5.232507905787209,5231017,14.999167682838856,29358,3.5512277730736663
15,blackdragon.tkn.near,6529,0,0.0,2313,100.0,161.42857142857142,2.472485394831849,2194869,5.495677244324962,39983,6.123908714964006
16,pager.herewallet.near,5144,10,51340.0,2678,100.0,223.0,4.3351477449455675,315017,0.7984805256151644,8224,1.598755832037325
17,unifat.near,3714,0,0.0,1298,100.0,530.4285714285714,14.281867835987383,134334,0.5065964648532165,3875,1.0433494884221863
18,Neko,3261,852,282.7464788732394,1453,75.19025875190259,120.42857142857143,3.692995137337364,984365,2.5040641379408477,16300,4.998466727997546
19,gear.enleap.near,2700,80,3275.0,656,98.18365287588294,126.14285714285714,4.671957671957672,363069,0.8845929708790018,6022,2.2303703703703706
20,meteor-rewards.near,2527,480,426.4583333333333,505,80.3088803088803,195.28571428571428,7.727966532873537,390405,0.9537576762791187,6958,2.7534626038781163
21,Paras,2279,1003,127.21834496510466,848,50.40916530278232,118.28571428571429,5.190246348649157,1441493,3.809597275086489,18528,8.12988152698552
22,Mintbase,2137,184,1061.413043478261,1779,53.65853658536586,266.85714285714283,12.48746573968848,895688,2.6019834495972183,8348,3.9064108563406643
23,v2.keypom.near,2044,60,3306.666666666667,1200,94.24920127795528,80.14285714285714,3.9208834218618955,374882,0.9299926083435941,6622,3.23972602739726
24,Learn NEAR Club,2030,1766,14.949037372593432,868,24.06602953953084,164.71428571428572,8.114004222378608,2190424,6.5043028587058815,24318,11.979310344827587
25,token.lonkingnearbackto2024.near,1950,0,0.0,994,100.0,69.0,3.5384615384615383,311293,0.8753872032232545,5857,3.0035897435897434
26,HERE Wallet,1862,934,99.3576017130621,550,70.03367003367003,213.57142857142858,11.470001534448366,1297217,3.164044747725873,11335,6.087540279269603
27,driskiani.near,1806,500,261.2,1806,0.0,43.0,2.380952380952381,516372,0.1156657021109977,9044,5.007751937984496
28,USDC,1419,619,129.24071082390952,358,63.84976525821596,79.14285714285714,5.577368368066042,414113,1.0253688380999229,4663,3.2861169837914024
29,Metapool,1407,870,61.724137931034484,469,44.95912806539509,83.0,5.899076048329779,1392224,3.3897415553974812,12932,9.191186922530207
30,NEAR Crowd,1381,1116,23.745519713261643,109,58.06451612903226,757.0,54.81535119478639,115033380,423.2588757912025,1911930,1384.4532947139753
31,Jump Finance,1132,379,198.68073878627968,317,75.30120481927712,61.142857142857146,5.401312468450278,961933,3.2047135529028283,11358,10.03356890459364
32,Burrow,1050,571,83.88791593695271,351,54.03225806451613,38.857142857142854,3.700680272108843,478686,1.1896057965897948,3224,3.0704761904761906
33,LiNEAR,1021,507,101.38067061143983,424,50.352112676056336,49.714285714285715,4.869175877990766,1489135,3.623469203331514,11732,11.490695396669931
34,memelol.near,694,0,0.0,243,100.0,123.71428571428571,17.826265953067104,593004,8.346846497417621,53157,76.59510086455332
35,cookie.nekotoken.near,564,219,157.53424657534248,208,61.42857142857143,11.571428571428571,2.0516717325227964,157429,0.38233027417290466,1724,3.0567375886524824
36,Pembrock,481,153,214.37908496732027,132,82.92682926829268,24.0,4.98960498960499,284772,0.6926487685139752,4725,9.823284823284823
37,mint.sharddog.near,441,50,782.0,198,88.37209302325581,10.571428571428571,2.397149335924846,2338072,5.686561438780735,35009,79.38548752834467
38,tinkerunion_nft.enleap.near,363,83,337.3493975903615,123,68.85245901639344,12.0,3.3057851239669422,155189,0.37702293628191713,2273,6.261707988980716
39,priceoracle.near,352,256,37.5,58,44.44444444444444,39.0,11.079545454545455,35982594,94.81189111931903,320387,910.1903409090909
40,SPIN,318,254,25.196850393700785,108,28.723404255319153,20.285714285714285,6.379155435759209,28882609,74.24059374020392,179160,563.3962264150944
41,TradePort,275,134,105.22388059701493,56,67.3913043478261,10.571428571428571,3.8441558441558445,173838,0.4222761779359988,2122,7.716363636363637
42,cars.raddx.near,262,1137,-76.95690413368513,12,35.064935064935064,10.142857142857142,3.871319520174482,331046,1.1763118464347984,683,2.6068702290076335
43,Jumbo Exchange,243,152,59.86842105263157,107,38.961038961038966,14.285714285714286,5.878894767783657,542817,2.1876710018580656,5093,20.958847736625515
