,activity_date,total_supply,total_locked,foundation_locked,lockups_locked_tokens,total_unlocked,total_staked,total_liquid,pct_stake_change
0,2020-10-13,999999923.6681458,562154193.8248986,202802936.42114878,562154193.8248986,235042793.4220984,126835526.08452046,108207267.33757794,
1,2020-10-14,999999902.4760648,563260654.4007452,201185110.25675726,563260654.4007452,235554137.8185623,147678827.68869168,87875310.12987062,14.113940319264373
2,2020-10-15,999999887.7544509,572370820.9964253,191780783.44230044,572370820.9964253,235848283.31572527,168282136.45147815,67566146.86424711,12.243313043941043
3,2020-10-16,999999883.1745976,572104846.893207,191780783.44230044,572104846.893207,236114252.83909044,169737015.61966866,66377237.219421774,0.8571372383796785
4,2020-10-17,999999879.8585324,571839236.7197026,191780418.4411974,571839236.7197026,236380224.69763243,168678064.5689022,67702160.12873024,-0.6277941672338159
5,2020-10-18,999999877.9049166,571569894.2800195,191780418.44039816,571569894.2800195,236649565.18449906,170982474.04571295,65667091.13878611,1.3477460129595897
6,2020-10-19,999999875.3366292,581778187.07852,181243554.71261203,581778187.07852,236978133.54549694,174595373.9207515,62382759.62474543,2.069298741373558
7,2020-10-20,1000068365.762398,588836272.7249701,173859674.18235186,588836272.7249701,237372418.85507616,192534691.47950056,44837727.3755756,9.31744685640669
8,2020-10-21,1000200669.7708515,604885702.0831082,157366118.8821315,604885702.0831082,237948848.8056118,202025697.63580412,35923151.16980767,4.697920248449378
9,2020-10-22,1000399980.4315501,610036728.9844902,151914646.853459,610036728.9844902,238448604.59360096,217905177.263585,20543427.330015957,7.287334714664709
10,2020-10-23,1000534551.6998247,609736688.7345291,151914646.853459,609736688.7345291,238883216.11183652,222335609.54947942,16547606.562357098,1.992677778819072
11,2020-10-24,1000736073.8709754,609419314.8185043,151914646.853459,609419314.8185043,239402112.1990121,228384524.19583866,11017588.00317344,2.6485659077198846
12,2020-10-25,1000873158.4941691,608270766.7190504,151914646.853459,608270766.7190504,240687744.92165977,231847079.20238036,8840665.719279408,1.4934650108398415
13,2020-10-26,1001078241.0551357,611482483.876065,188259363.3149539,611482483.876065,201336393.8641168,233551386.11296496,-32214992.24884817,0.7297353010614245
14,2020-10-27,1001211415.3964802,641604308.2335536,157205429.97061017,641604308.2335536,202401677.19231626,236014044.36756468,-33612367.175248414,1.0434371654444448
15,2020-10-28,1001415492.2622184,641189185.7212516,157205429.97061017,641189185.7212516,203020876.57035664,263671185.6746662,-60650309.10430956,10.489254347733919
16,2020-10-29,1001620908.1077737,640772592.7301393,157205429.97061017,640772592.7301393,203642885.40702438,258830565.05126032,-55187679.64423594,-1.87018894868433
17,2020-10-30,1001757656.1063864,645264730.1241386,152278416.26445395,645264730.1241386,204214509.7177938,260359535.85221422,-56145026.134420425,0.5872536206324241
18,2020-10-31,1001963474.1802385,644849852.3758521,152278416.26445395,644849852.3758521,204835205.5399324,264998567.13608104,-60163361.59614864,1.750587308453106
19,2020-11-01,1002100494.6746322,644434973.3366774,152278416.26445395,644434973.3366774,205387105.07350075,266395322.4679141,-61008217.39441335,0.5243167631073078
20,2020-11-02,1002306415.6575477,644004614.8731565,152278416.26445395,644004614.8731565,206023384.51993713,271259004.0018488,-65235619.48191169,1.7930027988680308
21,2020-11-03,1002442725.3622893,643558186.5431277,152278416.26445395,643558186.5431277,206606122.55470765,271581986.29858756,-64975863.743879914,0.11892625911633559
22,2020-11-04,1002648545.0409371,643334324.1013436,152064740.00892875,643334324.1013436,207249480.93066475,273570633.29169697,-66321152.36103222,0.7269226850781934
23,2020-11-05,1002779010.2899281,642916536.9201504,164714740.00892875,642916536.9201504,195147733.36084902,280365416.62894285,-85217683.26809382,2.423545463968054
